ano_mes,id_curso,tx_nome_curso,count
2025-04,815,Storytelling com Dados para Comunicação Profissional de Sucesso,107
2025-04,861,Inteligência Artificial para simplificar o dia a dia,338
2025-04,956,Inovando na Gestão de Projetos,77
2025-04,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,41
2025-04,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,44
2025-04,1088,A História da IA,226
2025-04,1090,Ética em IA,213
2025-04,1091,Inteligência Artificial Generativa,358
2025-04,1139,Colaboração com o Microsoft 365,72
2025-04,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,35
2025-04,1167,IA Generativo da Microsoft - Copilot,213
2025-04,1263,Governo Data-Driven: transformação orientada por dados em governos,40
2025-04,1304,Visão Geral da IA no Azure,11
2025-04,1305,Fundamentos da Visão Computacional - IA do Azure,13
2025-04,1328,Processamento de Linguagem Natural,23
2025-05,107,Planejamento Estratégico para Organizações Públicas,107
2025-05,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,371
2025-05,270,Governança de Dados,71
2025-05,290,Proteção de Dados Pessoais no Setor Público,215
2025-05,343,Planejamento da Contratação de Soluções de TIC,16
2025-05,367,Novas Tecnologias para a Transformação Digital,120
2025-05,373,Liderança e Gestão De Equipes,401
2025-05,377,Inteligência Artificial no Contexto do Serviço Público,521
2025-05,406,Análise de dados como suporte à tomada de decisão,315
2025-05,419,Transformação Digital no Serviço Público,122
2025-05,529,"Como implementar a LGPD: bases, mecanismos e processos",106
2025-05,534,Internet das coisas (IoT) aplicada para resolução de desafios,106
2025-05,536,Governança de Dados na Transformação Digital,53
2025-05,629,Aprendendo com Python,64
2025-05,724,Gestão de Riscos em Projetos de Transformação Digital,42
2025-05,787,Gestão de projetos,46
2025-05,797,Automação de Processos através da RPA para Transformação Digital,4115
2025-05,802,Visualização de Dados Aplicada à Transformação Digital,41
2025-05,810,Desvendando a Inteligência Artificial na Administração Pública,542
2025-05,815,Storytelling com Dados para Comunicação Profissional de Sucesso,158
2025-05,861,Inteligência Artificial para simplificar o dia a dia,315
